Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
09:43:34,207,13248000000,2629.31,990.8,35.51,2272498982.58,100%,71,71,71
09:43:39,148,9472000000,2475.22,913.32,28.02,1793157566.08,100%,72,72,72
09:43:44,148,9472000000,2673.21,1036.89,37.72,2413793830.54,100%,73,73,73
09:43:49,208,13312000000,2905.88,1253.48,45.21,2893655131.05,100%,74,74,74
09:43:55,189,12096000000,3375.06,1671.08,28.57,1828181388.88,100%,75,75,75
09:44:00,72,4608000000,3253.86,1502.89,14.8,947293924.8,100%,76,76,76
09:44:05,226,14464000000,2950.28,1234.79,54.32,3476231966.22,100%,77,77,77
09:44:10,175,11200000000,2916.43,1221.98,27.94,1788146600.9,100%,78,78,78
09:44:15,187,11968000000,3101.45,1361.26,34.2,2188862902.68,100%,79,79,79
09:44:20,111,7104000000,2852.54,1225.81,22.67,1450756461.87,100%,80,80,80
09:44:25,161,10304000000,3174.33,1297.01,38.17,2443131530.25,100%,81,81,81
09:44:30,207,13248000000,2838.54,1167.67,40.66,2601977956.42,100%,82,82,82
09:44:35,209,13376000000,2448.82,809.86,40.28,2578210816.11,100%,83,83,83
09:44:40,136,8704000000,2571.8,1037.83,26.16,1674167754.09,100%,84,84,84
09:44:45,122,7808000000,3192.87,1518.64,30.54,1954435584.88,100%,85,85,85
09:44:50,172,11008000000,3487.67,1822.55,36.23,2318658766.42,100%,86,86,86
09:44:55,214,13696000000,2404.46,845.99,40.48,2590443068.07,100%,87,87,87
09:45:00,134,8576000000,2363.6,898.36,24.78,1585634683.78,100%,88,88,88
09:45:05,193,12352000000,2434.1,930.68,42.86,2743178734.91,100%,89,89,89
09:45:10,186,11904000000,2153.38,737.87,34.36,2198733455.41,100%,90,90,90
09:45:15,183,11712000000,2123.93,736.27,34.74,2223463058.26,100%,91,91,91
09:45:20,161,10304000000,2195.06,843.2,31.97,2046046654.32,100%,92,92,92
09:45:25,136,8704000000,2166.37,737.04,28.97,1854287615.3,100%,93,93,93
09:45:30,174,11136000000,2237.07,847.93,39.32,2516664091.47,100%,94,94,94
09:45:35,159,10176000000,2215.13,825.74,29,1856147972.04,100%,95,95,95
09:45:40,147,9408000000,2646.16,1133.12,28.48,1822607554.99,100%,96,96,96
09:45:45,159,10176000000,2036.95,721.26,30.4,1945447854.59,100%,97,97,97
09:45:50,130,8320000000,1978.18,713.66,28.12,1799778953.01,100%,98,98,98
09:45:55,114,7296000000,2174.95,901.78,27.12,1735922711.18,100%,99,99,99
09:46:00,134,8576000000,2267.87,927.43,28.46,1821633106.05,100%,100,100,100
09:46:05,115,7360000000,2113.27,912.88,21.21,1357350187.03,100%,101,101,101
09:46:10,77,4928000000,2132.01,972.36,16.46,1053684081.95,100%,102,102,102
09:46:15,59,3776000000,2146.92,1022.8,13.61,871182975.36,100%,103,103,103
09:46:20,37,2368000000,2303.49,1150.49,8.24,527619491.53,100%,104,104,104
09:46:25,27,1728000000,2305.37,1091.89,7.79,498845021.68,100%,105,105,105
09:46:30,7,448000000,2329.57,1109.14,1.72,110028691.86,100%,106,106,106
09:46:35,1,64000000,2106,1260,0.47,30374940.67,100%,107,107,107
