Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:37:18,submitting @ 2021-02-12 09:37:16,authing @ 2021-02-12 09:37:16,launching @ 2021-02-12 09:37:16,running @ 2021-02-12 09:37:16,closing @ 2021-02-12 09:37:31,completed @ 2021-02-12 09:37:31
s2-prepare,prepare-write,prepare,16384,1048576000000,3001.3,1332.84,3120,3630,4150,4800,5700,10100,33.47,2142340322.36,100%,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:37:33,submitting @ 2021-02-12 09:37:32,authing @ 2021-02-12 09:37:32,launching @ 2021-02-12 09:37:32,running @ 2021-02-12 09:37:32,closing @ 2021-02-12 09:46:32,completed @ 2021-02-12 09:46:33
s3-5050rw,read,read,3898,249472000000,1759.42,705.87,1790,2030,2280,2540,3080,4280,19.7,1260516276.78,100%,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:46:35,submitting @ 2021-02-12 09:46:35,authing @ 2021-02-12 09:46:35,launching @ 2021-02-12 09:46:35,running @ 2021-02-12 09:46:35,closing @ 2021-02-12 09:50:00,completed @ 2021-02-12 09:50:00
s3-5050rw,write,write,3917,250688000000,3301.54,1520.9,3380,4000,4570,5240,6240,8170,19.79,1266690557.46,100%,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:46:35,submitting @ 2021-02-12 09:46:35,authing @ 2021-02-12 09:46:35,launching @ 2021-02-12 09:46:35,running @ 2021-02-12 09:46:35,closing @ 2021-02-12 09:50:00,completed @ 2021-02-12 09:50:00
s4-cleanup-5050rw,cleanup-delete,cleanup,16384,0,419.07,419.07,260,800,1190,1490,2250,3710,240.64,0,100%,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:50:02,submitting @ 2021-02-12 09:50:01,authing @ 2021-02-12 09:50:01,launching @ 2021-02-12 09:50:01,running @ 2021-02-12 09:50:01,closing @ 2021-02-12 09:51:21,completed @ 2021-02-12 09:51:21
s5-cleanup-r,cleanup-delete,cleanup,16384,0,1988.25,1988.25,2010,2610,3200,3790,4810,6810,50.38,0,100%,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:51:23,submitting @ 2021-02-12 09:51:22,authing @ 2021-02-12 09:51:22,launching @ 2021-02-12 09:51:22,running @ 2021-02-12 09:51:22,closing @ 2021-02-12 09:57:02,completed @ 2021-02-12 09:57:02
s6-dispose,dispose-delete,dispose,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2021-02-12 09:37:18,booting @ 2021-02-12 09:57:04,submitting @ 2021-02-12 09:57:03,authing @ 2021-02-12 09:57:03,launching @ 2021-02-12 09:57:03,running @ 2021-02-12 09:57:03,closing @ 2021-02-12 09:57:13,completed @ 2021-02-12 09:57:13
