Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
prepare,write,160,10240000000,3122.38,1395.85,0.32,20495658.68,100%
prepare,write,160,10240000000,3156.31,1350.56,0.32,20275702.03,100%
prepare,write,160,10240000000,2711.84,1233.98,0.37,23597569.27,100%
prepare,write,160,10240000000,3199.64,1328.63,0.31,20000820.35,100%
prepare,write,160,10240000000,3201.62,1322.08,0.31,19988912.4,100%
prepare,write,160,10240000000,3204.61,1303.83,0.31,19969655.48,100%
prepare,write,160,10240000000,2693.79,1318.36,0.37,23756220.35,100%
prepare,write,160,10240000000,3133.3,1421.41,0.32,20424119.61,100%
prepare,write,160,10240000000,2726.9,1290.99,0.37,23468206.77,100%
prepare,write,160,10240000000,2756.24,1280.43,0.36,23217690.79,100%
prepare,write,160,10240000000,3193.48,1327.73,0.31,20039962.5,100%
prepare,write,160,10240000000,2640.57,1259.36,0.38,24235309.71,100%
prepare,write,160,10240000000,3146.78,1326.93,0.32,20336586.39,100%
prepare,write,160,10240000000,2956.86,1385.73,0.34,21642642.77,100%
prepare,write,160,10240000000,2652.66,1239.22,0.38,24124599.79,100%
prepare,write,160,10240000000,2777.19,1300.58,0.36,23042615.34,100%
prepare,write,160,10240000000,2714.55,1283.79,0.37,23574100.72,100%
prepare,write,160,10240000000,3253.54,1384.54,0.31,19669536.42,100%
prepare,write,160,10240000000,2958.53,1399.89,0.34,21630756.23,100%
prepare,write,160,10240000000,2901.97,1325.58,0.34,22052473.69,100%
prepare,write,160,10240000000,3231.96,1340.41,0.31,19800831.48,100%
prepare,write,160,10240000000,2626.11,1251.45,0.38,24367956.14,100%
prepare,write,160,10240000000,2735.16,1253.61,0.37,23397371.45,100%
prepare,write,160,10240000000,2731.13,1250.47,0.37,23431797.22,100%
prepare,write,160,10240000000,3177.36,1330.03,0.31,20141422.68,100%
