Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,41,2624000000,3252.37,1498.54,0.21,13165354.65,100%
read,read,44,2816000000,1741.86,735.02,0.22,14200347.95,100%
write,write,36,2304000000,3379.39,1407.94,0.18,11618466.5,100%
read,read,30,1920000000,1843.2,731.6,0.15,9673713.7,100%
write,write,40,2560000000,3579.4,1635.15,0.2,12898284.93,100%
read,read,27,1728000000,1761.3,618.41,0.14,8780666.27,100%
write,write,46,2944000000,3244.26,1510.13,0.23,14959653.65,100%
read,read,38,2432000000,1863.92,687.47,0.2,12529365.7,100%
write,write,37,2368000000,3331.59,1524.49,0.19,12199645.55,100%
read,read,47,3008000000,1677.96,701.89,0.24,15079357.12,100%
write,write,39,2496000000,3092.31,1377.38,0.2,12512658.04,100%
read,read,31,1984000000,1761.97,726.97,0.16,10021366.12,100%
write,write,44,2816000000,3257.95,1609.2,0.22,14223874.49,100%
read,read,45,2880000000,1704.49,683.69,0.23,14510058.8,100%
write,write,35,2240000000,3479.29,1676.91,0.18,11285601.29,100%
read,read,40,2560000000,1803.72,682.6,0.2,12951467.41,100%
write,write,36,2304000000,3486.31,1615.56,0.18,11656320.67,100%
read,read,45,2880000000,1779.8,760.22,0.23,14499831.34,100%
write,write,38,2432000000,3119.13,1361.55,0.19,12244302.02,100%
read,read,36,2304000000,1846.03,737.22,0.18,11785829.38,100%
write,write,39,2496000000,3308.38,1706.33,0.2,12767981.83,100%
read,read,33,2112000000,1666.36,591.12,0.17,10565599.77,100%
write,write,43,2752000000,3369.6,1639.35,0.22,13767296.67,100%
read,read,32,2048000000,1724.56,725.91,0.16,10242611.87,100%
write,write,47,3008000000,3079.98,1425.21,0.24,15043836.18,100%
read,read,36,2304000000,1839.83,717.39,0.18,11591228.1,100%
write,write,40,2560000000,3313.35,1704.82,0.2,12879142.33,100%
read,read,32,2048000000,1725.19,671,0.16,10328307.03,100%
write,write,41,2624000000,3489.71,1596.05,0.21,13233143.38,100%
read,read,39,2496000000,1872.33,809.92,0.2,12614534.01,100%
write,write,38,2432000000,3285.21,1510.5,0.19,12291084.42,100%
read,read,36,2304000000,1852.81,807.47,0.18,11619462.6,100%
write,write,42,2688000000,3132.9,1510.07,0.21,13556039.7,100%
read,read,45,2880000000,1730.02,746.47,0.23,14500707.41,100%
write,write,36,2304000000,3354.28,1476.03,0.18,11600565.93,100%
read,read,39,2496000000,1707.64,697.23,0.2,12550849.55,100%
write,write,40,2560000000,3306.7,1578.7,0.2,12872666.2,100%
