Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,dispose-delete,dispose-delete,dispose-delete,dispose-delete,dispose-delete,dispose-delete,dispose-delete,Min-Version,Version,Max-Version
09:57:10,0,0,N/A,N/A,0,0,N/A,0,0,0
09:57:15,0,0,N/A,N/A,0,0,N/A,1,1,1
